"dataset_ID","format_flag","dataset_name","data_source","system","climate","taxa","organism","location","CentralLatitude","CentralLongitude","LatLong_sites","Raw_datafile_name","Raw_start_year","Raw_end_year","Raw_nRecs","Raw_nTime","Raw_nSpecies","Raw_siteUnit","spatial_scale_variable","Raw_nSites","Notes_siteFormat","Notes_spFormat","Raw_spatial_grain","Raw_spatial_grain_unit","Raw_Mean_Individuals_perSiteYear","Raw_Min_Individuals_perSiteYear","Raw_Max_Individuals_perSiteYear","countFormat","Notes_countFormat","Formatted_nRecs","Formatted_start_year","Formatted_end_year","Formatted_nSites","Formatted_nTime","Formatted_nSpecies","Formatted_Mean_Individuals_perSiteYear","Formatted_Min_Individuals_perSiteYear","Formatted_Max_Individuals_perSiteYear","Formatted_spatial_grain","Formatted_spatial_grain_unit","Notes_timeFormat","subannualTgrain","PropOcc_notes","General_notes","Citation1","Citation2","Citation3","Citation4","Citation5","Citation6"
200,0,"","http://idn.ceos.org/KeywordSearch/Metadata.do?Portal=idn_water&KeywordPath=%5BSensor_Name%3A+Short_Name%3D%27GRAB+SAMPLERS%27%5D&OrigMetadataNode=NOAA-NMMR&EntryId=WHOI_Benthic_Fauna&MetadataView=Full&MetadataType=0&lbnode=mdlb2","Marine","Temperate","Benthos","Benthos","",36.667,-65.533501,"",NA,NA,NA,43801,28,1617,"","",117,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","""NEFSC Benthos Database (OBIS-USA)"", Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce (2010). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
201,4,"Long Term Monitoring of Kelp Forest ","","Marine","Temperate","Fish","Fish","Channel Islands, CA",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Sites also include other sites along Pacific Coast (e.g. Pt. Lobos)","PISCO","","","","",""
202,4,"Long Term Monitoring of Kelp Forest Fish: larvae","","Marine","Temperate","Fish","Fish","Channel Islands, CA",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Casel+Z70:Z112le et al. 2010 Bulletin of Marine Sciences","","","","",""
203,4,"California Cooperative Fisheries Institute (CALCOFI) ","","Marine","Temperate","Plankton","Plankton","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Dataset goes back to the 1950s, demonstrates strong ENSO effect","","","","","",""
204,4,"NC Dept of Marine Fisheries Fish Seine Survey (Red drum?)","","Marine","Temperate","Fish","Fish","Coastal NC",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","6 regions of NC coast","","","","","",""
205,4,"Beaufort Bridge Net larval Fish sampling","","Marine","Temperate","Fish","Fish","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","poster at ECU showed flattish temporal occupancy distribution","","contact: Todd Ellison","","","",""
206,4,"Gotelli Long-term Fish dataset","","Aquatic","Temperate","Fish","Fish","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Fish data is from Grossman et al 1982, insects from KBS LTER","Gotelli et al 2010.pdf","","","","",""
207,4,"","","Terrestrial","Polar","Plant","Plant","Arctic LTER, AK",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","20 years of data. Soil data available","Shaver and Chapin 1991","","","","",""
208,1,"Insect Populations via Sticky Traps at KBS-LTER","http://lter.kbs.msu.edu/datatables/67","Terrestrial","Temperate","Arthropod","Insect","Kellogg Biological Station, MI",NA,NA,"N",NA,NA,NA,47838,765,21,"Replicate_Treatment_Station","Y",255,"site fields concatenated. the metadata suggests that there are 6 replicates with 7 treatments each. 5 stations are within each treatment. ","Unidentified entries (input as ""something else"") were removed",NA,NA,15.43970788,1,145,"count","Data represents count of adults. Many 0s and some NAs were omitted.",47838,NA,NA,255,NA,"21","15.43970788",1,"145",NA,NA,"temporal data provided as dates. The only modification to this field involved converting to a date object.","Y","","These data are used in Gotelli et al. 2010; see spatial layout of plots in Robertson & Hamilton 2015","Landis and Gage 2014","","","","",""
209,4,"","","Terrestrial","Temperate","Plant","Plant","Carpinteria salt marsh, CA",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","7 years of data. No soil data available","Cleland et al. 2008","","","","",""
210,0,"","","Terrestrial","Temperate","Plant","Plant","Cedar Creek LTER, MN",NA,NA,"N",NA,NA,NA,40792,30,245,"field_plot","Y",207,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","30 years of data. Soil data available. Reminder! This is an experiment, likely only the control will be useful.","Tilman 1987","","","","",""
211,4,"","","Terrestrial","Temperate","Plant","Plant","Central Plains Exptl Range, CO",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","14 years of data. No soil data available","Chu et al. 2013","","","","",""
212,4,"","","Terrestrial","Temperate","Plant","Plant","Channel Islands, CA",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","17 years of data. No soil data available","Johnson & Rodriguez 2001","","","","",""
213,1,"Long-term mapped quadrats from Kansas prairie: demographic information for herbaceaous Plant. Ecology 88:2673.","http://esapubs.org/archive/ecol/E088/161/","Terrestrial","Temperate","Plant","herbaceous","Fort Hays, KS",38.8,-99.3,"N",NA,NA,NA,149982,40,150,"site","N",9,"quadrats (sites) are potentially nested into two livestock exclosures and XY coords are provided; 
  it may be useful to create 3 or 4 coarser grain site codes based on the spatial arrangement.","Several ambiguous groups and unidentified spp removed, three unidentified species reassigned to 
  the sole member of the genus in the dataset.",NA,NA,NA,NA,NA,"count","Each record is counted as one individual, which may be underestimate
                                 the true number, but is more appropriate than using the coverage area
                                 when comparing to other datasets.",NA,NA,NA,NA,NA,"137","80.92345815",NA,"400",NA,NA,"Dates are years","N","","No soil data available","Adler et al. 2007","","","","",""
214,4,"","","Terrestrial","Temperate","Plant","Plant","Jasper Ridge, CA",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","8 years of data. Soil data available","Zavaleta et al. 2003","","","","",""
215,4,"NPP Quadrat Biomass by Species and Season","http://jornada-www.nmsu.edu/studies/lter/datasets/plants/nppqdbio/data/nppqdbio.php","Terrestrial","Temperate","Plant","Plant","Jornada LTER, NM",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","32 years of data. No soil data available","Nelson 1934, Huenneke et al. 2001","","","","",""
216,4,"","","Terrestrial","Temperate","Plant","Plant","Kellogg Biological Station, MI",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","23 years of data. Soil data available","Huberty et al. 1998","","","","",""
217,4,"Plant species composition on selected watersheds at Konza Prairie","http://www.konza.ksu.edu/knz/pages/data/KnzEntity.aspx?id=PVC021","Terrestrial","Temperate","Plant","Plant","Konza Prairie LTER, KS",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","25 years of data. Soil data available","Gibson & Hulbert 1987","","","","",""
218,4,"Lac Croche understory vegetation data set","http://www.esapubs.org/archive/ecol/E088/197/default.htm","Terrestrial","Temperate","Plant","Plant","Lac Croche, Quebec",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","9 years of data. Soil data available","Paquette et al. 2007","","","","",""
219,4,"","","Terrestrial","Temperate","Plant","Plant","McLaughlin Reserve, CA",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","10 years of data. Soil data available","Elmendorf & Harrison 2011","","","","",""
220,4,"","","Terrestrial","Temperate","Plant","Plant","Niwot Ridge LTER, CO",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","11 years of data. Soil data available","Theodose & Bowman 1997","","","","",""
221,1,"Portal Plants, summer","http://esapubs.org/archive/ecol/E090/118/metadata.htm","Terrestrial","Temperate","Plant","Plant","Portal, AZ",NA,NA,"N",NA,NA,NA,NA,NA,NA,"Plot_Quadrat","Y",NA,"Plot and Quadrat fields concatenated.","All taxa not identified to species were removed, resulting in the loss of 896 records",NA,NA,NA,NA,NA,"count","Data represents number of stems.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Date field is simply year","N","","30 years of data. No soil data available","Ernest et al. 2009","","","","",""
222,4,"","","Terrestrial","Temperate","Plant","Plant","Sagebrush Steppe, ID",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","35 years of data. No soil data available","Zachmann et al. 2010","","","","",""
223,1,"Small Mammal Exclosure Study (SMES) Vegetation Data from the Chihuahuan Desert Grassland and Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (2006-2009)","","Terrestrial","Temperate","Plant","Plant","Sevilleta LTER, NM",NA,NA,"N",NA,NA,NA,55277,121,125,"site_block_plot_quad","Y",871,"site fields concatenated. metadata suggests site-block--plot-quad describes the order of nested sites from large to small.","several species removed. Metadata was relatively uninformative regarding what constitutes a true species sample for this study. Exploration of metadata from associated Sevilleta studies were more informative regarding which species needed to be removed. Species names are predominantly provided as Kartez codes, but not always. See: http://sev.lternet.edu/data/sev-212/5048. Some codes were identified with this pdf from White Sands: https://nhnm.unm.edu/sites/default/files/nonsensitive/publications/nhnm/U00MUL02NMUS.pdf",NA,NA,NA,NA,NA,"cover","Data represents cover. There were no NAs nor 0s that required removal",55277,NA,NA,871,NA,"125",NA,NA,NA,NA,NA,"temporal data provided as dates. The only modification to this field involved converting to a date object.","Y","","14 years of data. Soil data available","Baez et al. 2006","","","","",""
224,4,"One hundred and six years of population and community dynamics of Sonoran Desert Laboratory perennials. Ecology 94:976. http://dx.doi.org/10.1890/12-1164.1","http://esapubs.org/archive/ecol/E094/083/","Terrestrial","Temperate","Plant","Plant","Sonoran Desert, AZ",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Seems like a lot of years, but the sampling was pretty irregular. I'm not entirely sure this will be useful, or at the very least easy to work with (as it appears most of the occurrence info is in map form).","Rodriguez-Buritica et al. 2013","","","","",""
225,0,"","","Terrestrial","Temperate","Plant","Plant","Tall Grass Prairie Preserve, OK",NA,NA,"",NA,NA,NA,44508,12,320,"","",20,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","12 years of data. Soil data available","McGlinn et al. 2010","","","","",""
226,0,"Eastern Wood Breeding Bird Data","http://www.Planta.cn/forum/files_Planta/macroecology_214.pdf","Terrestrial","Temperate","Bird","Bird","Eastern Wood, Surrey, Great Britain",51.297,-0.38,"",NA,NA,NA,954,30,45,"","",1,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Source is a PDF of a book (Gaston and Blackburn 2000, Pattern and Process in Macroecology), see page 357 of print version, page 370 of PDF","Beven 1976, Williamson 1989","","","","",""
227,4,"Breeding Bird Survey","","Terrestrial","Temperate","Bird","Bird","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","20+ years","","","","","",""
228,0,"Hubbard Brook LTER","","Terrestrial","Temperate","Bird","Bird","Hubbard Brook LTER New Hampshire",43.95,-71.745,"N",NA,NA,NA,1471,42,35,"site","N",4,"site fields concatenated. metadata suggests site-block-treatment-plot-quad describes the order of nested sites from small to large.","several species removed. Though Evening Grosbeak and Acadian Flycatcher were factors of the species column, there were no actual entries for those species. This is most likely because the count entries associated with each of these were either zero or trace and were removed. Two other species entries were removed: TOTAL  (ALL SPECIES) and NUMBER OF SPECIES  ",NA,NA,NA,NA,NA,"count","Data represents count. There were many 0s, 0.0s removed. bird counts that were entered as trace (t or tr) were also deleted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"temporal data provided as dates (years) in numerical form.","N","","14-35 years","count","Holmes, RT, S Sillet, N Rodenhouse, FW Sturges, TW Sherry. 012. Bird Abundances at Hubbard Brook (1969-2010) and on three replicate plots (1986-2000) in the White Mountain National Forest. Durham, NH. Hubbard Brook Data Archive [Database]. http://hubbardbrook.org/data/dataset.php?id=81 (1 Oct 2014) Mountain National Forest","","","",""
229,4,"Christmas Bird Count","","Terrestrial","Temperate","Bird","Bird","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","20+ years","","","","","",""
230,4,"Swedish lapland bird assemblage","","Terrestrial","Temperate","Bird","Bird","Ammarnas, Sweden",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","20 years","Enemar et al 1984","","","","",""
231,4,"Konza LTER small mammals","http://www.konza.ksu.edu/knz/pages/data/KnzEntity.aspx?id=CSM011","Terrestrial","Temperate","Mammal","Mammal","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","16 years","","","","","",""
232,1,"Sevilleta LTER mammals","","Terrestrial","Temperate","Mammal","Mammal","",NA,NA,"N",NA,NA,NA,1680,50,32,"location_web_trap","Y",8,"site fields concatenated. metadata suggests location-web-trap describes the order of nested sites from large area to small area","some species removed because they were genus-only and there were many species entries associated with that genus. There were also a few entries with a space at the end, which were replaced with the correct value. The Peromyscus species codes were changed from ""pm__"" to ""pe__"" because that is how the metadata lists them",NA,NA,NA,NA,NA,"count","Data represents count. There was no count column in this dataset, so a dataframe was made that showed the frequency of of species per time sample per site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"temporal data provided as years and seasons (spring, summer, and fall). Seasons were converted into month and day combos (""4/1"",""7/1"",""10/1"") to make the date object. ","Y","","10-20 years"," Ernest et al. 2000","","","","",""
233,4,"Lake Manyara Megaherbivores","http://www.jstor.org/stable/4219351?seq=1#page_scan_tab_contents","Terrestrial","Temperate","Mammal","Mammal","Lake Manyara National Park, Tanzania",3.5,35.75,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","25 years"," Prins and Douglas-Hamilton 1990","","","","",""
234,1,"Powdermill","http://ecologicaldata.org/wiki/powdermill-biological-station-small-mammal-database","Terrestrial","Temperate","Mammal","Mammal","Powdermill Biological Station, Pennsylvania, USA",40.17074,-79.26017761,"N",NA,NA,NA,723,82,18,"quadr","N",1,"sites are quadrats within a 1 ha plot.  No changes made to site data. Site data was checked for variation in number of sites sampled per year.  Varied from 99 sites to 105 sites, a negligible differece, so was ignored. There may be blank site names and other misnamed sites, but this can be ignored","no info in metadata about species coding but not many different species so little chance for error. Only items removed were blanks and items labeled with a question mark",NA,NA,NA,NA,NA,"count","data was extracted by creating table and getting frequency of each species at each time sample per each site.",5152,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,"temporal data provided as dates, but with no separation betw year, month, day values. Separated the values, pasted back together, then converted to date object.  Then added the date object to the dataset.","Y","","20+ years","Merritt J. 1999. Long Term Mammal Data from Powdermill Biological Station 1979-1999 knb-lter-vcr.67.17 (http://tropical.lternet.edu/knb/metacat/knb-lter-vcr.67.17/lter)","","","","",""
235,4,"Plant and small-Mammal responses to large-herbivore exclusion in an African savanna: five years of the UHURU experiment. Ecology 95:787.","http://esapubs.org/archive/ecol/E095/064/","Terrestrial","Tropical","Plant","Plant","Mpala research center, Kenya",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Mammal exclosure experiment","Kartzinel et al. 2014","","","","",""
236,1,"Long-term monitoring of Mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Mammals","http://esapubs.org/archive/ecol/E094/084/metadata.php","Terrestrial","Temperate","Mammal","Mammal","Bosque Fray Jorge National Park, Chile",NA,NA,"N",NA,NA,NA,368758,202,14,"gr_rowcol","Y",20,"site fields concatenated. the columns that originally contained the row and column of the trap within the grid had a few values that were not legitimate (according to metadata, values should be 1-5, there were a few 0s). These bad values were removed and the row and col columns were combined as ""rowcol""","species are coded. there were two codes that were not associated with any species in the metadata (""MM"" and ""UN""), and they were removed",NA,NA,NA,NA,NA,"count","Data represents count. There was no original count column, just one row for each individual of a species found at each site/date combination. Count column extracted. There were many 0s to remove, no NAs.",14925,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,"temporal data provided as the year directly followed by the month i.e. 199112. No days were provided in the column entries, so 01 was added as the day for each entry in order for strptime to work.","Y","","Small-Mammal data collected with predator exclosure study. May show ENSO effect","Kelt et al. 2013","","","","",""
237,0,"Long-term monitoring of Mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Shrubs and herbaceous plants.","http://esapubs.org/archive/ecol/E094/084/metadata.php","Terrestrial","Temperate","Plant","Plant","Bosque Fray Jorge National Park, Chile",NA,NA,"",NA,NA,NA,1056,NA,66,"","",16,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Plant data collected with predator exclosure study. I used the annuals dataset. May show ENSO effect","Kelt et al. 2013","","","","",""
238,0,"Long-term monitoring of Mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Ecology 94:977. shrub and herbaceous Plant.","http://esapubs.org/archive/ecol/E094/084/metadata.php","Terrestrial","Temperate","Plant","Plant","Bosque Fray Jorge National Park, Chile",NA,NA,"",NA,NA,NA,5687,31,43,"","",16,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Seed data collected with predator exclosure study. I used the annuals dataset. May show ENSO effect.  Date listed as first of each month, but data only provided month; first of month added to allow for date object format.","Kelt et al. 2013","","","","",""
239,0,"Marine microPlankton diversity database","http://esapubs.org/archive/ecol/E094/149/","Marine","Global","Plankton","Plankton","Predominantly North and South Atlantic",NA,NA,"",NA,NA,NA,40402,16,1336,"","",294,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Sal et al. 2013","","","","",""
240,4,"Antarctic breeding Bird survey","http://esapubs.org/archive/ecol/E094/243/","Marine","Polar","Bird","Bird","Antarctica",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","This may not be that useful because there are only 7 species present.","Lynch et al. 2013","","","","",""
241,1,"A multi-decade time series of kelp forest community structure at San Nicolas Island, California (USA). Ecology 94:2654.","http://esapubs.org/archive/ecol/E094/244/#data","Marine","Temperate","Benthos","Benthos","San Nicolas Island",NA,NA,"N",NA,NA,NA,13590,251,17,"Station_Quadrat","Y",35,"Site fields concatenated. Each station has 10 quadrats.","A number of non-organismal cover classes, and taxa not identified to species were
   removed while several ""spp"" taxa were assigned to the only species of that genus
   in the dataset.",NA,NA,NA,NA,NA,"cover","Data represents cover in 1-m2 permanent quadrats, estimated by 
                                  intercepts at 20 fixed points. ",13590,NA,NA,35,NA,"128",NA,NA,NA,NA,NA,"temporal data provided as dates. The only modification to this field involved converting to a date object.","Y","","Includes a big ENSO event and reintroduction of sea otters","Kenner et al. 2013","","","","",""
242,1,"A multi-decade time series of kelp forest community structure at San Nicolas Island, California (USA). Ecology 94:2654.","http://esapubs.org/archive/ecol/E094/244/#data","Marine","Temperate","Fish","Fish","San Nicolas Island",NA,NA,"N",NA,NA,NA,4656,224,36,"station_transect","Y",35,"site fields concatenated. metadata suggests that there are 4-5 transects within each station.","Removed all entries of Sebastes spp. because there were multiple other entries of the Sebastes genus that were identified to the species. There were other entries with unidentified species, but each had a unique genus, so there was no overlap, so they were kept.  ",NA,NA,NA,NA,NA,"density","Data represents density. In the raw data, adult and juvenile densities were in separate columns. These were added together in count column.",4656,NA,NA,35,NA,"36",NA,NA,NA,NA,NA,"temporal data provided as dates. The only modification to this field involved converting to a date object.","Y","","Benthos Fish. Includes a big ENSO event and reintroduction of sea otters. Dataset 243 is from the same site, but higher up in the water column.","Kenner et al. 2013","","","","",""
243,1,"A multi-decade time series of kelp forest community structure at San Nicolas Island, California (USA). Ecology 94:2654.","http://esapubs.org/archive/ecol/E094/244/#data","Marine","Temperate","Fish","Fish","San Nicolas Island",NA,NA,"N",NA,NA,NA,10316,222,38,"station_transect","Y",35,"site fields concatenated. metadata suggests that there are 4-5 transects within each station.","Combined the female and male entries of Semicossyphus pulcher into species code 1006. Removed all entries of Sebastes spp. because there were multiple other entries of the Sebastes genus that were identified to the species. There were other entries with unidentified species, but each had a unique genus, so there was no overlap, so they were kept.",NA,NA,NA,NA,NA,"count","Raw data represents density, and adult and juvenile densities were in separate columns. These were added together in count column and multiplied by 250 to get count of individuals in 50 x 5 m transect.",10316,NA,NA,35,NA,"57","198.3393939",NA,"4507",NA,NA,"temporal data provided as dates. The only modification to this field involved converting to a date object.","Y","","This is the mid-water Fish for the Kenner study, likely should not be considered independent of Dataset 242, which is at the same site but lower in the water column. ","Kenner et al. 2013","","","","",""
244,0," A multi-decade time series of kelp forest community structure at the California Channel Islands. Ecology 94:2655.","http://esapubs.org/archive/ecol/E094/245/","Marine","Temperate","Benthos","Benthos","California Channel Islands",NA,NA,"",NA,NA,NA,10740,30,40,"","",33,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Kushner et al. 2013","","","","",""
245,4,"A multi-decade time series of kelp forest community structure at the California Channel Islands. Ecology 94:2655.","http://esapubs.org/archive/ecol/E094/245/","Marine","Temperate","Fish","Fish","California Channel Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Transect count","Kushner et al. 2013","","","","",""
246,1,"A multi-decade time series of kelp forest community structure at the California Channel Islands. Ecology 94:2655.","http://esapubs.org/archive/ecol/E094/245/","Marine","Temperate","Fish","Fish","California Channel Islands",NA,NA,"",NA,NA,NA,6218,9,102,"","",33,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Roving Fish count. Likely should not be considered independent of COM02S","Kushner et al. 2013","","","","",""
247,1,"Mosquitoes of North America with emphasis in the midwestern United States: long-term occurrence patterns. Ecology 94:1433.","http://esapubs.org/archive/ecol/E094/126/","Terrestrial","Temperate","Arthropod","Insect","North America",NA,NA,"N",NA,NA,NA,NA,NA,NA,"site","N",NA,"site field is a concatenation of lat and long for some sites, but for others is a provided sitename. The scale of these sites is variable as this is an amalgamation of heterogeneous datasets.","Some simple misspellings were fixed, and unidentified species (""Unknown"", or e.g., ""Aedes spp."") were removed.",NA,NA,NA,NA,NA,"count","No 0s or NAs. Count is a count of adult individuals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Day, month and year combined into single date field","Y","","Mosquitoes! There are a lot of records, but much of these data will likely not be usable .","Hellmann et al. 2013","","","","",""
248,4,"SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-sbc.17.27","Marine","Temperate","Fish","Fish","Santa Barbara coast and Channel Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Reed 2013","","","","",""
249,0,"North Temperate Lakes LTER: Fish Abundance 1981-current","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-ntl.7.10","Aquatic","Temperate","Fish","Fish","North Temperate Lake LTER",NA,NA,"",NA,NA,NA,4429,32,89,"","",11,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","NTL LTER 2012","","","","",""
250,0,"Stream fish assemblage stability in a southern Appalachian stream at the Coweeta Hydrologic Laboratory from 1984 to 1995","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-cwt.3047.13","Aquatic","Temperate","Fish","Fish","Coweeta Long Term Ecological Research Program, NC",NA,NA,"N",NA,NA,NA,188,12,14,"","",2,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Coweeta LTER 2007","","","","",""
251,0,"Antarctica seabird census","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-pal.100.1","Marine","Polar","Bird","Bird","Antarctica",NA,NA,"",NA,NA,NA,27672,19,57,"","",1061,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Counts from ships. Count data includes mammal observations.","","","","","",""
252,0,"Sevilleta LTER arthropod data","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-sev.29.175390","Terrestrial","Temperate","Arthropod","Arthropod","Sevilleta LTER, NM",34.331,-106.376,"",NA,NA,NA,2654,13,502,"","",4,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","One of the sites ends in 2001 (another starts up then but should be ignored)","Lightfoot et al. 2010","","","","",""
253,0,"Kellogg LTER seed bank","http://lter.kbs.msu.edu/datatables/23","Terrestrial","Temperate","Plant","Seed","Michigan, USA",NA,NA,"",NA,NA,NA,2136,NA,87,"","",150,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","",""
